epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,138.886,1.17235,1.17833,1.37051,0.94341,0.82609,0.86183,0.47172,1.57043,1.22145,1.59919,0.0006932,0.0006932,0.0006932
68,140.83,1.0252,1.0494,1.25683,0.99247,0.73913,0.84152,0.49782,1.55545,1.19127,1.6382,0.0006734,0.0006734,0.0006734
69,142.31,1.13435,1.039,1.32039,0.98882,0.73913,0.867,0.51028,1.53686,1.11667,1.66823,0.0006536,0.0006536,0.0006536
70,143.712,1.07163,1.00245,1.2522,0.92929,0.69565,0.83821,0.52884,1.46427,1.09678,1.57938,0.0006338,0.0006338,0.0006338
71,145.233,0.95946,0.92183,1.20428,0.93335,0.69565,0.82093,0.52284,1.43934,1.09701,1.54335,0.000614,0.000614,0.000614
72,146.651,0.93239,0.88461,1.17827,1,0.73341,0.85903,0.48991,1.48258,1.11561,1.55791,0.0005942,0.0005942,0.0005942
73,148.189,1.05291,1.0738,1.27587,1,0.73643,0.88656,0.49933,1.49038,1.09251,1.57404,0.0005744,0.0005744,0.0005744
74,149.665,0.97777,0.96294,1.24901,1,0.76514,0.88543,0.48465,1.4839,1.07885,1.5797,0.0005546,0.0005546,0.0005546
75,151.805,1.00769,0.93184,1.22815,1,0.76615,0.88424,0.48998,1.50972,1.05719,1.61835,0.0005348,0.0005348,0.0005348
76,154.06,0.93538,0.88441,1.18976,0.9038,0.81728,0.88997,0.48921,1.55564,1.12092,1.64814,0.000515,0.000515,0.000515
77,155.498,0.8646,0.8386,1.14052,0.84864,0.82609,0.86105,0.48838,1.50722,1.1455,1.60975,0.0004952,0.0004952,0.0004952
78,157.065,0.85376,0.81524,1.16475,0.85639,0.82609,0.85623,0.49833,1.43908,1.16078,1.57211,0.0004754,0.0004754,0.0004754
79,158.603,0.88175,0.86166,1.1775,0.89005,0.82609,0.87704,0.52698,1.40037,1.12113,1.57379,0.0004556,0.0004556,0.0004556
80,160.163,0.89242,0.94214,1.20965,0.95143,0.85212,0.89331,0.56606,1.38684,1.08763,1.55752,0.0004358,0.0004358,0.0004358
81,161.65,0.84328,0.8654,1.18034,0.99833,0.86957,0.90896,0.56271,1.42243,1.05351,1.57692,0.000416,0.000416,0.000416
82,163.014,0.80402,0.77457,1.12966,0.9907,0.86957,0.91308,0.56008,1.4523,1.03916,1.59221,0.0003962,0.0003962,0.0003962
83,164.665,0.94473,0.90622,1.18894,1,0.90156,0.91536,0.53998,1.48696,1.02929,1.61772,0.0003764,0.0003764,0.0003764
84,166.982,0.9334,0.85706,1.21045,0.98955,0.91304,0.91597,0.52708,1.52235,1.00269,1.63228,0.0003566,0.0003566,0.0003566
85,169.156,0.88878,0.82503,1.18394,0.97486,0.91304,0.91635,0.53954,1.52491,0.96742,1.63084,0.0003368,0.0003368,0.0003368
86,170.549,0.8876,0.88528,1.15927,0.99241,0.91304,0.91822,0.52788,1.54917,0.97059,1.64585,0.000317,0.000317,0.000317
87,171.986,0.87978,0.82922,1.15459,0.9479,0.91304,0.91895,0.54186,1.56059,0.97484,1.667,0.0002972,0.0002972,0.0002972
88,173.419,0.81163,0.77256,1.11544,0.90324,0.91304,0.91972,0.55392,1.55188,0.93994,1.66367,0.0002774,0.0002774,0.0002774
89,175.073,0.84239,0.82847,1.12024,0.91048,0.91304,0.91925,0.54438,1.54227,0.92993,1.65728,0.0002576,0.0002576,0.0002576
90,176.52,0.87028,0.88614,1.1824,0.91302,0.91278,0.9084,0.53983,1.55059,0.91806,1.67834,0.0002378,0.0002378,0.0002378
91,181.108,0.79111,0.86399,1.15311,0.91296,0.91212,0.90903,0.53148,1.57158,0.90768,1.70809,0.000218,0.000218,0.000218
92,183.969,0.80682,0.88446,1.14519,0.91277,0.91006,0.90964,0.52648,1.59725,0.88759,1.73677,0.0001982,0.0001982,0.0001982
93,185.615,0.71342,0.82638,1.05361,0.95066,0.86957,0.91187,0.5192,1.64107,0.86794,1.80942,0.0001784,0.0001784,0.0001784
94,186.984,0.71493,0.75024,1.05973,0.94938,0.86957,0.9064,0.50348,1.6458,0.86985,1.8029,0.0001586,0.0001586,0.0001586
95,188.422,0.66012,0.72141,1.00915,0.949,0.86957,0.92676,0.51055,1.62513,0.87162,1.77254,0.0001388,0.0001388,0.0001388
96,189.786,0.6648,0.73079,1.01358,0.94879,0.86957,0.91898,0.51729,1.57866,0.87065,1.72199,0.000119,0.000119,0.000119
97,191.168,0.70282,0.7607,1.07168,0.94782,0.86957,0.91263,0.52341,1.55279,0.88766,1.69351,9.92e-05,9.92e-05,9.92e-05
98,192.616,0.69228,0.77293,1.03546,0.94747,0.86957,0.91082,0.53317,1.54917,0.91597,1.69634,7.94e-05,7.94e-05,7.94e-05
99,194.894,0.77128,0.75102,1.13737,0.94673,0.86957,0.90964,0.53426,1.5474,0.92407,1.70135,5.96e-05,5.96e-05,5.96e-05
100,196.951,0.67809,0.71144,1.04339,0.94532,0.86957,0.90852,0.53971,1.53672,0.93047,1.70083,3.98e-05,3.98e-05,3.98e-05
